ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国,,オーストラリア,オーストリア,ベルギー,カナダ,デンマーク,フィンランド,フランス,ドイツ,ギリシャ,アイルランド,イタリア,日本,韓国,ルクセンブルグ,オランダ,ニュージーランド,ノルウェー,ポルトガル,スペイン,スウェーデン,スイス,イギリス,アメリカ,クゥエート,アラブ首長国連邦,主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計,非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計,国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計,合計合計合計合計合計合計合計合計合計合計合計合計合計
ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域地域地域地域地域地域地域地域地域地域地域地域地域,国国国国国国国国国国国国国,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アフリカ,Zimbabwe,44.8,0.5,1.7,9.2,27.4,9,4.8,33.1,0.3,6.7,1.4,18.9,2.1,0,14.8,4.1,24.5,0.1,3.6,29.5,6.5,108.1,175.2,0,0,526.2,0,214.5,740.8
アフリカ,"South of Sahara, regional",26.8,17,21.9,275.4,32.4,32.2,174,126.6,7.5,9.7,6.4,2.5,10.3,0.8,84.4,2.4,54.1,3.2,178.9,81.4,28.2,164.5,632.3,0,0,1972.8,0,460.8,2433.6
アフリカ,"Africa, regional",35.1,9.1,6.8,134.7,40.3,24.6,104.7,201.7,2.5,3.6,2.2,69.1,7.5,11.9,25.7,0,101.9,0.3,72,81.1,6.5,226.3,0,0,0.5,1167.7,0.5,452.2,1620.4
アメリカ,Anguilla,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.3,0,8.3,8.6
アメリカ,Antigua and Barbuda,0,0,0,0,0,0,0,0,0.1,0,0,6.8,0,0,0,0,0,0,0,0,0,0,0.2,0,0,7.1,0,12.8,20
アメリカ,Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
アメリカ,Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
アメリカ,Barbados,0.2,0,0,0.6,0,0,0,0.1,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,2.4,0,14.9,17.4
アメリカ,Belize,0.7,0,0,0.4,0,0,0,0.1,0,0,0,7.5,0.1,0,0,0,0,0,0.2,0,0,0.1,3.1,0.4,0.1,12.2,0.4,12.5,25.1
アメリカ,Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
